COUNTRY OF NATIONALITY,2016 Alone,2016 With Spouse,2016 With Children,2016 With Family/Relatives,2016 Student Group,2016 With Friends,2016 With Business Associate,2016 With Incentive Group,2016 Others,2017 Alone,2017 With Spouse,2017 With Children,2017 With Family/Relatives,2017 Student Group,2017 With Friends,2017 With Business Associate,2017 With Incentive Group,2017 Others,2018 Alone,2018 With Spouse,2018 With Children,2018 With Family/Relatives,2018 Student Group,2018 With Friends,2018 With Business Associate,2018 With Incentive Group,2018 Others
NEW ZEALAND,11.4,43.4,0.3,17.8,0.3,21.5,5.1,0.0,0.0,12.1,41.3,0.0,18.5,0.0,25.4,2.2,0.0,0.4,13.3,34.6,4.2,19.2,0.0,25.6,1.8,0.0,1.2
SOUTH AFRICA,39.7,37.0,0.0,11.0,0.0,8.2,4.1,0.0,0.0,24.2,42.4,0.0,27.3,0.0,6.1,0.0,0.0,0.0,3.3,30.3,2.0,36.8,1.3,20.4,3.9,0.0,2.0
CENTRAL ASIA,11.4,23.8,0.9,17.3,2.8,29.0,2.2,8.3,4.3,6.5,27.8,2.0,29.8,2.8,21.4,3.2,3.6,2.8,3.9,24.4,0.7,31.7,6.2,20.7,1.1,6.0,5.3
OTHER ASEAN,31.4,5.7,0.0,8.6,0.0,48.6,5.7,0.0,0.0,6.7,17.8,2.2,33.3,0.0,33.4,0.0,0.0,6.7,0.8,23.1,0.3,46.1,0.2,28.1,0.2,0.2,1.0
OTHER EAST ASIA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,16.2,0.0,48.1,2.0,24.5,2.0,4.1,0.0,2.3,16.0,0.8,48.3,0.8,20.7,6.8,4.5,0.0
OTHERS SOUTH ASIA,2.7,15.3,2.7,39.6,7.2,13.5,8.1,10.8,0.0,6.0,27.7,0.6,43.4,0.0,18.7,3.6,0.0,0.0,5.2,30.4,1.0,43.3,0.9,15.6,2.0,0.7,0.9
OTHERS WEST ASIA,9.3,29.0,1.4,33.8,0.3,19.7,4.8,0.0,1.7,17.1,30.2,2.1,10.6,0.0,39.3,0.7,0.0,0.0,6.2,29.6,0.6,21.7,0.0,39.0,1.7,0.2,1.0
OTHERS AMERICAS,28.5,36.3,3.4,11.7,0.0,18.4,1.7,0.0,0.0,15.6,34.3,0.8,17.8,0.0,30.4,0.9,0.0,0.2,9.3,33.0,0.6,18.8,0.0,36.7,1.4,0.1,0.1
OTHERS EUROPE,23.2,39.9,0.6,11.7,0.0,21.7,2.7,0.0,0.2,8.5,31.2,1.1,36.0,1.1,18.3,1.8,1.1,0.8,5.3,32.0,0.8,33.0,3.1,20.2,3.2,1.9,0.5
OTHERS,16.7,27.5,1.3,24.5,0.9,21.6,2.9,2.6,2.0,18.3,57.1,9.7,7.5,1.6,1.9,3.9,0.0,0.0,18.3,57.1,9.7,7.5,1.6,1.9,3.9,0.0,0.0
